# ADAMAS reference database (part B: quantum). Same format as refs_a.psv:
# key | authors | year | title | venue | locator | tags | status
davies1976 | Davies, G.; Hamer, M. F. | 1976 | Optical studies of the 1.945 eV vibronic band in diamond | Proceedings of the Royal Society A | 348, 285 | nv | V
vanwyk1997 | van Wyk, J. A.; Reynhardt, E. C.; High, G. L.; Kiflawi, I. | 1997 | The dependences of ESR line widths and spin-spin relaxation times of single nitrogen defects on the concentration of nitrogen defects in diamond | Journal of Physics D: Applied Physics | 30, 1790 | nv | V
toyli2012 | Toyli, D. M.; Christle, D. J.; Alkauskas, A.; et al. | 2012 | Measurement and control of single nitrogen-vacancy center spins above 600 K | Physical Review X | 2, 031001 | nv | V
fuchs2009 | Fuchs, G. D.; Dobrovitski, V. V.; Toyli, D. M.; Heremans, F. J.; Awschalom, D. D. | 2009 | Gigahertz dynamics of a strongly driven single quantum spin | Science | 326, 1520 | nv,qc | V
robledo2011njp | Robledo, L.; Bernien, H.; van der Sar, T.; Hanson, R. | 2011 | Spin dynamics in the optical cycle of single nitrogen-vacancy centres in diamond | New Journal of Physics | 13, 025013 | nv | V
tetienne2012 | Tetienne, J.-P.; Rondin, L.; Spinicelli, P.; et al. | 2012 | Magnetic-field-dependent photodynamics of single NV defects in diamond: an application to qualitative all-optical magnetic imaging | New Journal of Physics | 14, 103033 | nv | V
dreau2011 | Dreau, A.; Lesik, M.; Rondin, L.; et al. | 2011 | Avoiding power broadening in optically detected magnetic resonance of single NV defects for enhanced dc magnetic field sensitivity | Physical Review B | 84, 195204 | nv,sens | V
aslam2013 | Aslam, N.; Waldherr, G.; Neumann, P.; Jelezko, F.; Wrachtrup, J. | 2013 | Photo-induced ionization dynamics of the nitrogen vacancy defect in diamond investigated by single-shot charge state detection | New Journal of Physics | 15, 013064 | nv | V
doi2014 | Doi, Y.; Makino, T.; Kato, H.; et al. | 2014 | Deterministic electrical charge-state initialization of single nitrogen-vacancy center in diamond | Physical Review X | 4, 011057 | nv,dev | V
grotz2012 | Grotz, B.; Hauf, M. V.; Dankerl, M.; et al. | 2012 | Charge state manipulation of qubits in diamond | Nature Communications | 3, 729 | nv,dev | V
hauf2011 | Hauf, M. V.; Grotz, B.; Naydenov, B.; et al. | 2011 | Chemical control of the charge state of nitrogen-vacancy centers in diamond | Physical Review B | 83, 081304 | nv | V
jacques2009 | Jacques, V.; Neumann, P.; Beck, J.; et al. | 2009 | Dynamic polarization of single nuclear spins by optical pumping of nitrogen-vacancy color centers in diamond at room temperature | Physical Review Letters | 102, 057403 | nv,qc | V
childress2006 | Childress, L.; Gurudev Dutt, M. V.; Taylor, J. M.; et al. | 2006 | Coherent dynamics of coupled electron and nuclear spin qubits in diamond | Science | 314, 281 | nv,qc | V
rosskopf2014 | Rosskopf, T.; Dussaux, A.; Ohashi, K.; et al. | 2014 | Investigation of surface magnetic noise by shallow spins in diamond | Physical Review Letters | 112, 147602 | nv,fab | V
myers2014 | Myers, B. A.; Das, A.; Dartiailh, M. C.; et al. | 2014 | Probing surface noise with depth-calibrated spins in diamond | Physical Review Letters | 113, 027602 | nv,fab | V
romach2015 | Romach, Y.; Mueller, C.; Unden, T.; et al. | 2015 | Spectroscopy of surface-induced noise using shallow spins in diamond | Physical Review Letters | 114, 017601 | nv,fab | V
sangtawesin2019 | Sangtawesin, S.; Dwyer, B. L.; Srinivasan, S.; et al. | 2019 | Origins of diamond surface noise probed by correlating single-spin measurements with surface spectroscopy | Physical Review X | 9, 031052 | nv,fab | V
oforiokai2012 | Ofori-Okai, B. K.; Pezzagna, S.; Chang, K.; et al. | 2012 | Spin properties of very shallow nitrogen vacancy defects in diamond | Physical Review B | 86, 081406 | nv,fab | V
taylor2008 | Taylor, J. M.; Cappellaro, P.; Childress, L.; et al. | 2008 | High-sensitivity diamond magnetometer with nanoscale resolution | Nature Physics | 4, 810 | sens | V
maze2008 | Maze, J. R.; Stanwix, P. L.; Hodges, J. S.; et al. | 2008 | Nanoscale magnetic sensing with an individual electronic spin in diamond | Nature | 455, 644 | sens | V
balasubramanian2008 | Balasubramanian, G.; Chan, I. Y.; Kolesov, R.; et al. | 2008 | Nanoscale imaging magnetometry with diamond spins under ambient conditions | Nature | 455, 648 | sens | V
rondin2014 | Rondin, L.; Tetienne, J.-P.; Hingant, T.; et al. | 2014 | Magnetometry with nitrogen-vacancy defects in diamond | Reports on Progress in Physics | 77, 056503 | sens | V
barry2020 | Barry, J. F.; Schloss, J. M.; Bauch, E.; et al. | 2020 | Sensitivity optimization for NV-diamond magnetometry | Reviews of Modern Physics | 92, 015004 | sens,nv | V
degen2017 | Degen, C. L.; Reinhard, F.; Cappellaro, P. | 2017 | Quantum sensing | Reviews of Modern Physics | 89, 035002 | sens | V
schirhagl2014 | Schirhagl, R.; Chang, K.; Loretz, M.; Degen, C. L. | 2014 | Nitrogen-vacancy centers in diamond: nanoscale sensors for physics and biology | Annual Review of Physical Chemistry | 65, 83 | sens | V
dolde2011 | Dolde, F.; Fedder, H.; Doherty, M. W.; et al. | 2011 | Electric-field sensing using single diamond spins | Nature Physics | 7, 459 | sens | V
kucsko2013 | Kucsko, G.; Maurer, P. C.; Yao, N. Y.; et al. | 2013 | Nanometre-scale thermometry in a living cell | Nature | 500, 54 | sens | V
toyli2013 | Toyli, D. M.; de las Casas, C. F.; Christle, D. J.; Dobrovitski, V. V.; Awschalom, D. D. | 2013 | Fluorescence thermometry enhanced by the quantum coherence of single spins in diamond | Proceedings of the National Academy of Sciences | 110, 8417 | sens | V
wolf2015 | Wolf, T.; Neumann, P.; Nakamura, K.; et al. | 2015 | Subpicotesla diamond magnetometry | Physical Review X | 5, 041001 | sens | V
levine2019 | Levine, E. V.; Turner, M. J.; Kehayias, P.; et al. | 2019 | Principles and techniques of the quantum diamond microscope | Nanophotonics | 8, 1945 | sens | V
casola2018 | Casola, F.; van der Sar, T.; Yacoby, A. | 2018 | Probing condensed matter physics with magnetometry based on nitrogen-vacancy centres in diamond | Nature Reviews Materials | 3, 17088 | sens | V
glenn2018 | Glenn, D. R.; Bucher, D. B.; Lee, J.; et al. | 2018 | High-resolution magnetic resonance spectroscopy using a solid-state spin sensor | Nature | 555, 351 | sens | V
turner2020 | Turner, M. J.; Langellier, N.; Bainbridge, R.; et al. | 2020 | Magnetic field fingerprinting of integrated-circuit activity with a quantum diamond microscope | Physical Review Applied | 14, 014097 | sens,dev | V
stuerner2021 | Stürner, F. M.; Brenneis, A.; Buck, T.; et al. | 2021 | Integrated and portable magnetometer based on nitrogen-vacancy ensembles in diamond | Advanced Quantum Technologies | 4, 2000111 | sens | V
bucher2019 | Bucher, D. B.; Aude Craik, D. P. L.; Backlund, M. P.; et al. | 2019 | Quantum diamond spectrometer for nanoscale NMR and ESR spectroscopy | Nature Protocols | 14, 2707 | sens,edu | V
sewani2020 | Sewani, V. K.; Vallabhapurapu, H. H.; Yang, Y.; et al. | 2020 | Coherent control of NV- centers in diamond in a quantum teaching lab | American Journal of Physics | 88, 1156 | edu | V
meijer2005 | Meijer, J.; Burchard, B.; Domhan, M.; et al. | 2005 | Generation of single color centers by focused nitrogen implantation | Applied Physics Letters | 87, 261909 | fab | V
rabeau2006 | Rabeau, J. R.; Reichart, P.; Tamanyan, G.; et al. | 2006 | Implantation of labelled single nitrogen vacancy centers in diamond using 15N | Applied Physics Letters | 88, 023113 | fab | V
pezzagna2010 | Pezzagna, S.; Naydenov, B.; Jelezko, F.; Wrachtrup, J.; Meijer, J. | 2010 | Creation efficiency of nitrogen-vacancy centres in diamond | New Journal of Physics | 12, 065017 | fab | V
pezzagna2010small | Pezzagna, S.; Wildanger, D.; Mazarov, P.; et al. | 2010 | Nanoscale engineering and optical addressing of single spins in diamond | Small | 6, 2117 | fab | V
toyli2010 | Toyli, D. M.; Weis, C. D.; Fuchs, G. D.; Schenkel, T.; Awschalom, D. D. | 2010 | Chip-scale nanofabrication of single spins and spin arrays in diamond | Nano Letters | 10, 3168 | fab | V
spinicelli2011 | Spinicelli, P.; Dreau, A.; Rondin, L.; et al. | 2011 | Engineered arrays of nitrogen-vacancy color centers in diamond based on implantation of CN- molecules through nanoapertures | New Journal of Physics | 13, 025014 | fab | V
bayn2015 | Bayn, I.; Chen, E. H.; Trusheim, M. E.; et al. | 2015 | Generation of ensembles of individually resolvable nitrogen vacancies using nanometer-scale apertures in ultrahigh-aspect ratio planar implantation masks | Nano Letters | 15, 1751 | fab | V
scarabelli2016 | Scarabelli, D.; Trusheim, M.; Gaathon, O.; Englund, D.; Wind, S. J. | 2016 | Nanoscale engineering of closely-spaced coupled spins in diamond | Nano Letters | 16, 4982 | fab,qc | V
jakobi2016 | Jakobi, I.; Momenzadeh, S. A.; Favaro de Oliveira, F.; et al. | 2016 | Efficient creation of dipolar coupled nitrogen-vacancy spin qubits in diamond | Journal of Physics: Conference Series | 752, 012001 | fab,qc | V
ohno2012 | Ohno, K.; Heremans, F. J.; Bassett, L. C.; et al. | 2012 | Engineering shallow spins in diamond with nitrogen delta-doping | Applied Physics Letters | 101, 082413 | fab | V
ohno2014 | Ohno, K.; Heremans, F. J.; de las Casas, C. F.; et al. | 2014 | Three-dimensional localization of spins in diamond using 12C implantation | Applied Physics Letters | 105, 052406 | fab | V
mclellan2016 | McLellan, C. A.; Myers, B. A.; Kraemer, S.; et al. | 2016 | Patterned formation of highly coherent nitrogen-vacancy centers using a focused electron irradiation technique | Nano Letters | 16, 2450 | fab | V
chen2017 | Chen, Y.-C.; Salter, P. S.; Knauer, S.; et al. | 2017 | Laser writing of coherent colour centres in diamond | Nature Photonics | 11, 77 | fab | V
chen2019 | Chen, Y.-C.; Griffiths, B.; Weng, L.; et al. | 2019 | Laser writing of individual nitrogen-vacancy defects in diamond with near-unity yield | Optica | 6, 662 | fab | V
luhmann2019 | Lühmann, T.; John, R.; Wunderlich, R.; Meijer, J.; Pezzagna, S. | 2019 | Coulomb-driven single defect engineering for scalable qubits and spin sensors in diamond | Nature Communications | 10, 4956 | fab,qc | V
luhmann2018 | Lühmann, T.; Raatz, N.; John, R.; et al. | 2018 | Screening and engineering of colour centres in diamond | Journal of Physics D: Applied Physics | 51, 483002 | fab | V
favaro2017 | Favaro de Oliveira, F.; Antonov, D.; Wang, Y.; et al. | 2017 | Tailoring spin defects in diamond by lattice charging | Nature Communications | 8, 15409 | fab | V
naydenov2010 | Naydenov, B.; Reinhard, F.; Laemmle, A.; et al. | 2010 | Increasing the coherence time of single electron spins in diamond by high temperature annealing | Applied Physics Letters | 97, 242511 | fab | V
yamamoto2013 | Yamamoto, T.; Umeda, T.; Watanabe, K.; et al. | 2013 | Extending spin coherence times of diamond qubits by high-temperature annealing | Physical Review B | 88, 075206 | fab | V
deak2014 | Deak, P.; Aradi, B.; Kaviani, M.; Frauenheim, T.; Gali, A. | 2014 | Formation of NV centers in diamond: a theoretical study based on calculated transitions and migration of nitrogen and vacancy related defects | Physical Review B | 89, 075203 | fab | V
vandam2019 | van Dam, S. B.; Walsh, M.; Degen, M. J.; et al. | 2019 | Optical coherence of diamond nitrogen-vacancy centers formed by ion implantation and annealing | Physical Review B | 99, 161203 | fab,net | V
chu2014 | Chu, Y.; de Leon, N. P.; Shields, B. J.; et al. | 2014 | Coherent optical transitions in implanted nitrogen vacancy centers | Nano Letters | 14, 1982 | fab,net | V
schroder2017 | Schroeder, T.; Trusheim, M. E.; Walsh, M.; et al. | 2017 | Scalable focused ion beam creation of nearly lifetime-limited single quantum emitters in diamond nanostructures | Nature Communications | 8, 15376 | fab,net | V
schukraft2016 | Schukraft, M.; Zheng, J.; Schroeder, T.; et al. | 2016 | Precision nanoimplantation of nitrogen vacancy centers into diamond photonic crystal cavities and waveguides | APL Photonics | 1, 020801 | fab,net | V
michl2014 | Michl, J.; Teraji, T.; Zaiser, S.; et al. | 2014 | Perfect alignment and preferential orientation of nitrogen-vacancy centers during chemical vapor deposition diamond growth on (111) surfaces | Applied Physics Letters | 104, 102407 | fab | V
lesik2014 | Lesik, M.; Tetienne, J.-P.; Tallaire, A.; et al. | 2014 | Perfect preferential orientation of nitrogen-vacancy defects in a synthetic diamond sample | Applied Physics Letters | 104, 113107 | fab | V
fukui2014 | Fukui, T.; Doi, Y.; Miyazaki, T.; et al. | 2014 | Perfect selective alignment of nitrogen-vacancy centers in diamond | Applied Physics Express | 7, 055201 | fab | V
edmonds2012 | Edmonds, A. M.; D'Haenens-Johansson, U. F. S.; Cruddace, R. J.; et al. | 2012 | Production of oriented nitrogen-vacancy color centers in synthetic diamond | Physical Review B | 86, 035201 | fab | V
ozawa2017 | Ozawa, H.; Tahara, K.; Ishiwata, H.; Hatano, M.; Iwasaki, T. | 2017 | Formation of perfectly aligned nitrogen-vacancy-center ensembles in chemical-vapor-deposition-grown diamond (111) | Applied Physics Express | 10, 045501 | fab | V
ishikawa2012 | Ishikawa, T.; Fu, K.-M. C.; Santori, C.; et al. | 2012 | Optical and spin coherence properties of nitrogen-vacancy centers placed in a 100 nm thick isotopically purified diamond layer | Nano Letters | 12, 2083 | fab | V
itoh2014 | Itoh, K. M.; Watanabe, H. | 2014 | Isotope engineering of silicon and diamond for quantum computing and sensing applications | MRS Communications | 4, 143 | fab,qc | V
smith2019 | Smith, J. M.; Meynell, S. A.; Bleszynski Jayich, A. C.; Meijer, J. | 2019 | Colour centre generation in diamond for quantum technologies | Nanophotonics | 8, 1889 | fab | V
ziegler2010 | Ziegler, J. F.; Ziegler, M. D.; Biersack, J. P. | 2010 | SRIM - The stopping and range of ions in matter (2010) | Nuclear Instruments and Methods in Physics Research B | 268, 1818 | fab | V
grootberning2019 | Groot-Berning, K.; Kornher, T.; Jacob, G.; et al. | 2019 | Deterministic single-ion implantation of rare-earth ions for nanometer-resolution color-center generation | Physical Review Letters | 123, 106802 | fab | V
jamieson2005 | Jamieson, D. N.; Yang, C.; Hopf, T.; et al. | 2005 | Controlled shallow single-ion implantation in silicon using an active substrate for sub-20-keV ions | Applied Physics Letters | 86, 202101 | fab | V
divincenzo2000 | DiVincenzo, D. P. | 2000 | The physical implementation of quantum computation | Fortschritte der Physik | 48, 771 | qc | V
nielsen2010 | Nielsen, M. A.; Chuang, I. L. | 2010 | Quantum Computation and Quantum Information (10th anniversary ed.) | Cambridge University Press | book | qc | K
ladd2010 | Ladd, T. D.; Jelezko, F.; Laflamme, R.; Nakamura, Y.; Monroe, C.; O'Brien, J. L. | 2010 | Quantum computers | Nature | 464, 45 | qc | V
kane1998 | Kane, B. E. | 1998 | A silicon-based nuclear spin quantum computer | Nature | 393, 133 | qc | V
fowler2012 | Fowler, A. G.; Mariantoni, M.; Martinis, J. M.; Cleland, A. N. | 2012 | Surface codes: towards practical large-scale quantum computation | Physical Review A | 86, 032324 | qc | V
preskill2018 | Preskill, J. | 2018 | Quantum computing in the NISQ era and beyond | Quantum | 2, 79 | qc | V
wrachtrup2006 | Wrachtrup, J.; Jelezko, F. | 2006 | Processing quantum information in diamond | Journal of Physics: Condensed Matter | 18, S807 | qc | V
weber2010 | Weber, J. R.; Koehl, W. F.; Varley, J. B.; et al. | 2010 | Quantum computing with defects | Proceedings of the National Academy of Sciences | 107, 8513 | qc | V
childress2013 | Childress, L.; Hanson, R. | 2013 | Diamond NV centers for quantum computing and quantum networks | MRS Bulletin | 38, 134 | qc,net | V
awschalom2018 | Awschalom, D. D.; Hanson, R.; Wrachtrup, J.; Zhou, B. B. | 2018 | Quantum technologies with optically interfaced solid-state spins | Nature Photonics | 12, 516 | qc,net | V
wolfowicz2021 | Wolfowicz, G.; Heremans, F. J.; Anderson, C. P.; et al. | 2021 | Quantum guidelines for solid-state spin defects | Nature Reviews Materials | 6, 906 | qc | V
atature2018 | Atature, M.; Englund, D.; Vamivakas, N.; Lee, S.-Y.; Wrachtrup, J. | 2018 | Material platforms for spin-based photonic quantum technologies | Nature Reviews Materials | 3, 38 | qc,net | V
pezzagna2021 | Pezzagna, S.; Meijer, J. | 2021 | Quantum computer based on color centers in diamond | Applied Physics Reviews | 8, 011308 | qc | V
ruf2021 | Ruf, M.; Wan, N. H.; Choi, H.; Englund, D.; Hanson, R. | 2021 | Quantum networks based on color centers in diamond | Journal of Applied Physics | 130, 070901 | net | V
dutt2007 | Gurudev Dutt, M. V.; Childress, L.; Jiang, L.; et al. | 2007 | Quantum register based on individual electronic and nuclear spin qubits in diamond | Science | 316, 1312 | qc | V
neumann2008 | Neumann, P.; Mizuochi, N.; Rempp, F.; et al. | 2008 | Multipartite entanglement among single spins in diamond | Science | 320, 1326 | qc | V
neumann2010science | Neumann, P.; Beck, J.; Steiner, M.; et al. | 2010 | Single-shot readout of a single nuclear spin | Science | 329, 542 | qc | V
neumann2010natphys | Neumann, P.; Kolesov, R.; Naydenov, B.; et al. | 2010 | Quantum register based on coupled electron spins in a room-temperature solid | Nature Physics | 6, 249 | qc | V
dolde2013 | Dolde, F.; Jakobi, I.; Naydenov, B.; et al. | 2013 | Room-temperature entanglement between single defect spins in diamond | Nature Physics | 9, 139 | qc | V
dolde2014 | Dolde, F.; Bergholm, V.; Wang, Y.; et al. | 2014 | High-fidelity spin entanglement using optimal control | Nature Communications | 5, 3371 | qc | V
yao2012 | Yao, N. Y.; Jiang, L.; Gorshkov, A. V.; et al. | 2012 | Scalable architecture for a room temperature solid-state quantum information processor | Nature Communications | 3, 800 | qc | V
waldherr2014 | Waldherr, G.; Wang, Y.; Zaiser, S.; et al. | 2014 | Quantum error correction in a solid-state hybrid spin register | Nature | 506, 204 | qc | V
taminiau2014 | Taminiau, T. H.; Cramer, J.; van der Sar, T.; Dobrovitski, V. V.; Hanson, R. | 2014 | Universal control and error correction in multi-qubit spin registers in diamond | Nature Nanotechnology | 9, 171 | qc | V
cramer2016 | Cramer, J.; Kalb, N.; Rol, M. A.; et al. | 2016 | Repeated quantum error correction on a continuously encoded qubit by real-time feedback | Nature Communications | 7, 11526 | qc | V
bradley2019 | Bradley, C. E.; Randall, J.; Abobeih, M. H.; et al. | 2019 | A ten-qubit solid-state spin register with quantum memory up to one minute | Physical Review X | 9, 031045 | qc | V
abobeih2019 | Abobeih, M. H.; Randall, J.; Bradley, C. E.; et al. | 2019 | Atomic-scale imaging of a 27-nuclear-spin cluster using a quantum sensor | Nature | 576, 411 | qc,sens | V
abobeih2022 | Abobeih, M. H.; Wang, Y.; Randall, J.; et al. | 2022 | Fault-tolerant operation of a logical qubit in a diamond quantum processor | Nature | 606, 884 | qc | V
randall2021 | Randall, J.; Bradley, C. E.; van der Gronden, F. V.; et al. | 2021 | Many-body-localized discrete time crystal with a programmable spin-based quantum simulator | Science | 374, 1474 | qc | V
rong2015 | Rong, X.; Geng, J.; Shi, F.; et al. | 2015 | Experimental fault-tolerant universal quantum gates with solid-state spins under ambient conditions | Nature Communications | 6, 8748 | qc | V
xie2023 | Xie, T.; Zhao, Z.; Xu, S.; et al. | 2023 | 99.92%-fidelity CNOT gates in solids by noise filtering | Physical Review Letters | 130, 030601 | qc | V
bartling2025 | Bartling, H. P.; Yun, J.; Schymik, K. N.; et al. | 2025 | Universal high-fidelity quantum gates for spin qubits in diamond | Physical Review Applied | TODO: verify volume and page | qc | V
vandersar2012 | van der Sar, T.; Wang, Z. H.; Blok, M. S.; et al. | 2012 | Decoherence-protected quantum gates for a hybrid solid-state spin register | Nature | 484, 82 | qc | V
robledo2011 | Robledo, L.; Childress, L.; Bernien, H.; et al. | 2011 | High-fidelity projective read-out of a solid-state spin quantum register | Nature | 477, 574 | qc | V
jiang2009 | Jiang, L.; Hodges, J. S.; Maze, J. R.; et al. | 2009 | Repetitive readout of a single electronic spin via quantum logic with nuclear spin ancillae | Science | 326, 267 | qc | V
steiner2010 | Steiner, M.; Neumann, P.; Beck, J.; Jelezko, F.; Wrachtrup, J. | 2010 | Universal enhancement of the optical readout fidelity of single electron spins at nitrogen-vacancy centers in diamond | Physical Review B | 81, 035205 | qc | V
shields2015 | Shields, B. J.; Unterreithmeier, Q. P.; de Leon, N. P.; Park, H.; Lukin, M. D. | 2015 | Efficient readout of a single spin state in diamond via spin-to-charge conversion | Physical Review Letters | 114, 136402 | qc | V
hopper2018 | Hopper, D. A.; Shulevitz, H. J.; Bassett, L. C. | 2018 | Spin readout techniques of the nitrogen-vacancy center in diamond | Micromachines | 9, 437 | qc | V
bourgeois2015 | Bourgeois, E.; Jarmola, A.; Siyushev, P.; et al. | 2015 | Photoelectric detection of electron spin resonance of nitrogen-vacancy centres in diamond | Nature Communications | 6, 8577 | qc,dev | V
siyushev2019 | Siyushev, P.; Nesladek, M.; Bourgeois, E.; et al. | 2019 | Photoelectrical imaging and coherent spin-state readout of single nitrogen-vacancy centers in diamond | Science | 363, 728 | qc,dev | V
zu2014 | Zu, C.; Wang, W.-B.; He, L.; et al. | 2014 | Experimental realization of universal geometric quantum gates with solid-state spins | Nature | 514, 72 | qc | V
arroyo2014 | Arroyo-Camejo, S.; Lazariev, A.; Hell, S. W.; Balasubramanian, G. | 2014 | Room temperature high-fidelity holonomic single-qubit gate on a solid-state spin | Nature Communications | 5, 4870 | qc | V
wu2019 | Wu, Y.; Wang, Y.; Qin, X.; Rong, X.; Du, J. | 2019 | A programmable two-qubit solid-state quantum processor under ambient conditions | npj Quantum Information | 5, 9 | qc | V
vorobyov2021 | Vorobyov, V.; Zaiser, S.; Abt, N.; et al. | 2021 | Quantum Fourier transform for nanoscale quantum sensing | npj Quantum Information | 7, 124 | qc,sens | V
hirose2016 | Hirose, M.; Cappellaro, P. | 2016 | Coherent feedback control of a single qubit in diamond | Nature | 532, 77 | qc | V
unden2016 | Unden, T.; Balasubramanian, P.; Louzon, D.; et al. | 2016 | Quantum metrology enhanced by repetitive quantum error correction | Physical Review Letters | 116, 230502 | qc,sens | V
pfender2017 | Pfender, M.; Aslam, N.; Sumiya, H.; et al. | 2017 | Nonvolatile nuclear spin memory enables sensor-unlimited nanoscale spectroscopy of small spin clusters | Nature Communications | 8, 834 | qc,sens | V
cappellaro2009 | Cappellaro, P.; Jiang, L.; Hodges, J. S.; Lukin, M. D. | 2009 | Coherence and control of quantum registers based on electronic spin in a nuclear spin bath | Physical Review Letters | 102, 210502 | qc | V
bermudez2011 | Bermudez, A.; Jelezko, F.; Plenio, M. B.; Retzker, A. | 2011 | Electron-mediated nuclear-spin interactions between distant nitrogen-vacancy centers | Physical Review Letters | 107, 150503 | qc | V
rabl2010 | Rabl, P.; Kolkowitz, S. J.; Koppens, F. H. L.; et al. | 2010 | A quantum spin transducer based on nanoelectromechanical resonator arrays | Nature Physics | 6, 602 | qc | V
