# ADAMAS reference database (part E, v0.5.0): power-electronics applications, silicon versus diamond in depth,
# thermal management and packaging, harsh environments, and large-scale quantum computer sizing.
# tags: pwr (power electronics and applications), si (silicon baseline), thm (thermal), app (applications), qc (quantum computing)
#
# ---- Power electronics: textbooks and reviews ----
yates2018 | Yates, L.; Anderson, J.; Gu, X.; et al. | 2018 | Low thermal boundary resistance interfaces for GaN-on-diamond devices | ACS Applied Materials and Interfaces | 10, 24302 | thm | V
cho2014 | Cho, J.; Li, Y.; Hoke, W. E.; et al. | 2014 | Phonon scattering in strained transition layers for GaN heteroepitaxy | Physical Review B | 89, 115301 | thm | V
glassbrenner1964 | Glassbrenner, C. J.; Slack, G. A. | 1964 | Thermal conductivity of silicon and germanium from 3 K to the melting point | Physical Review | 134, A1058 | thm,si | V
#
# ---- Silicon baseline, in depth ----
jacoboni1977 | Jacoboni, C.; Canali, C.; Ottaviani, G.; Alberigi Quaranta, A. | 1977 | A review of some charge transport properties of silicon | Solid-State Electronics | 20, 77 | si | V
green1990 | Green, M. A. | 1990 | Intrinsic concentration, effective densities of states, and effective mass in silicon | Journal of Applied Physics | 67, 2944 | si | V
arora1982 | Arora, N. D.; Hauser, J. R.; Roulston, D. J. | 1982 | Electron and hole mobilities in silicon as a function of concentration and temperature | IEEE Transactions on Electron Devices | 29, 292 | si | V
#
# ---- Large-scale quantum computing: how big a machine must be ----
gidney2021 | Gidney, C.; Ekera, M. | 2021 | How to factor 2048 bit RSA integers in 8 hours using 20 million noisy qubits | Quantum | 5, 433 | qc | V
gidney2025 | Gidney, C. | 2025 | How to factor 2048 bit RSA integers with less than a million noisy qubits | arXiv | 2505.15917 | qc | K
litinski2019 | Litinski, D. | 2019 | A game of surface codes: large-scale quantum computing with lattice surgery | Quantum | 3, 128 | qc | V
reiher2017 | Reiher, M.; Wiebe, N.; Svore, K. M.; Wecker, D.; Troyer, M. | 2017 | Elucidating reaction mechanisms on quantum computers | Proceedings of the National Academy of Sciences | 114, 7555 | qc | V
babbush2018 | Babbush, R.; Gidney, C.; Berry, D. W.; et al. | 2018 | Encoding electronic spectra in quantum circuits with linear T complexity | Physical Review X | 8, 041015 | qc | V
google2023 | Google Quantum AI | 2023 | Suppressing quantum errors by scaling a surface code logical qubit | Nature | 614, 676 | qc | V
google2025 | Google Quantum AI and Collaborators | 2025 | Quantum error correction below the surface code threshold | Nature | 638, 920 | qc | V
bluvstein2024 | Bluvstein, D.; Evered, S. J.; Geim, A. A.; et al. | 2024 | Logical quantum processor based on reconfigurable atom arrays | Nature | 626, 58 | qc | V
monroe2013 | Monroe, C.; Kim, J. | 2013 | Scaling the ion trap quantum processor | Science | 339, 1164 | qc | V
vandersypen2017 | Vandersypen, L. M. K.; Bluhm, H.; Clarke, J. S.; et al. | 2017 | Interfacing spin qubits in quantum dots and donors: hot, dense, and coherent | npj Quantum Information | 3, 34 | qc | V
reilly2015 | Reilly, D. J. | 2015 | Engineering the quantum-classical interface of solid-state qubits | npj Quantum Information | 1, 15011 | qc | V
krinner2019 | Krinner, S.; Storz, S.; Kurpiers, P.; et al. | 2019 | Engineering cryogenic setups for 100-qubit scale superconducting circuit systems | EPJ Quantum Technology | 6, 2 | qc | V
vandijk2019 | van Dijk, J. P. G.; Kawakami, E.; Schouten, R. N.; et al. | 2019 | Impact of classical control electronics on qubit fidelity | Physical Review Applied | 12, 044054 | qc | V
arute2019 | Arute, F.; Arya, K.; Babbush, R.; et al. | 2019 | Quantum supremacy using a programmable superconducting processor | Nature | 574, 505 | qc | V
kjaergaard2020 | Kjaergaard, M.; Schwartz, M. E.; Braumueller, J.; et al. | 2020 | Superconducting qubits: current state of play | Annual Review of Condensed Matter Physics | 11, 369 | qc | V
